148	837	16	21.96
373	6276	3	17.74
144	1332	29	83.95
6370	141	8	30.47
147	961	16	24.2
177	545	14	19.58
654	3995	15	143.26
749	1313	3	11.88
337	1785	3	8.63
1776	584	4	18.54
115	2219	19	29.09
5730	185	3	9.66
108	36752	3	16.15
1291	415	3	8.18
176	6762	3	10.29
116	6572	9	22.66
409	369	9	20.47
1111	4001	3	21.26
138	24242	4	26.75
922	556	3	8.38
2546	162	5	8.75
1526	817	3	13.56
135	11500	7	34.78
6577	132	4	7.99
2645	206	4	10.33
176	5161	3	8.48
883	22	3	17.33
106	10791	5	9.19
146	7994	3	7.81
3329	20753	7	119.6
103	8779	19	74.12
920	523	11	56.89
2995	111	25	60.08
19719	9082	4	68.68
14628	102	7	14.44
7241	1481	3	27.34
597	500	4	9.43
118	6043	31	200.25
1457	2673	3	20.04
1623	1432	3	16.79
505	520	9	32.3
1526	522	3	10.88
2039	715	3	14.23
891	35104	3	42.85
1375	20433	7	105.47
1525	131	10	7.4
2582	169	10	32.71
2066	1005	4	23.9
337	8156	3	19.13
211	163	65	73.85
110	34599	3	13.18
5890	317	6	41.25
145	1424	10	12.36
6372	173	5	20.9
4839	349	8	57.27
45849	116	3	18.7
143	1672	10	14.03
2791	105	22	33.79
21	20263	7	41.16
147	2600	29	136.6
178	4137	12	61.85
2829	198	6	20.05
115	2944	13	19.25
305	252	11	11.71
1058	23496	6	87.29
541	837	4	12.51
128	11490	3	7.7
223	26591	3	25.57
136	5081	9	29.51
138	4453	30	183.53
1054	648	3	9.77
416	2397	4	18.08
191	27785	3	23.03
468	18896	3	29.24
33067	134	4	30.26
384	1831	3	9.53
1952	113	44	119.83
1916	153	9	18.32
4599	683	3	19.45
8216	144	3	7.6
2343	251	3	7.65
614	4001	3	17.91
1290	265	9	33.19
229	1075	9	24.86
172	913	9	11.8
643	428	11	44.14
5341	170	3	7.66
1748	15657	9	140.76
2211	137	7	8.15
3230	136	14	43.6
106	44477	3	16.13
507	9	13	44.03
140	4891	9	30.41
9718	25511	5	99.42
107	4229	19	43.34
110	4857	7	7.52
17322	112	3	7.66
44036	280	3	34.37
1600	1231	3	15.86
571	3037	3	15.46
171	7507	3	10.19
962	392	4	10.36
1369	174	6	8.12
14123	201	4	26.46
862	372	4	9.26
507	2339	11	77.36
108	3137	14	14.45
105	29318	4	21.36
263	975	5	10.3
146	20112	3	15.29
297	182	18	12.17
12245	144	3	10.5
265	1717	6	20.91
7915	13492	11	216.2
1051	7274	3	25.79
117	20466	3	9.97
168	2704	12	44.17
116	17301	3	8.57
3744	140	6	12.05
2	1981	7	10.77
4351	1571	16	187.92
11676	121	4	10.51
614	207	7	7.53
1734	550	3	11.8
6160	685	3	21.71
105	9312	6	10.85
2964	465	3	14.2
5199	251	8	50.71
17350	110	5	19.03
1524	720	3	12.65
1113	114	29	26.76
125	28036	5	34.5
5106	3604	4	43.27
40606	595	3	40.31
1621	306	4	11.76
1050	825	3	11.26
537	628	6	19.88
536	234	7	8.86
377	2158	5	22.26
307	3343	3	11.67
24221	108	3	9.7
42075	210	3	31.24
112	17296	4	12.96
651	2225	3	14.18
1260	104	53	52.55
14174	109	4	9.34
117	2747	18	36.38
9185	145	3	8.83
786	1041	5	23.1
5550	4279	34	630.35
715	520	4	10.91
624	118	25	7.86
5896	161	3	7.65
120	673	35	29.15
620	1662	5	25.31
440	6520	5	37.74
7911	2	3	8.67
17085	2341	8	130.15
335	3336	9	57.31
150	1881	9	15.98
9249	108	5	8
1260	983	3	13.08
102	13204	7	11.06
104	13995	6	13.37
3399	935	3	19.19
848	242	5	8.01
208	2694	4	10.65
6755	252	5	29.97
273	875	6	13.8
13182	106	4	7.36
2518	105	24	35.76
104	9805	7	11.14
538	2427	10	70.39
980	420	3	6.87
135	9203	3	7.52
2642	271	4	14.4
989	33927	4	57.78
3122	498	9	65.22
4557	349	3	14.83
4111	140	8	21.83
776	23237	6	84.16
109	21988	4	15.54
482	6687	4	29.74
108	2286	14	7.29
30602	30603	4	97.8
37262	904	3	42.87
9209	151	8	44.09
7388	2430	3	30.77
